duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
tcp,ftp_data,SF,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,58,0.23,0.4,0.23,0.0,0.4,0.0,0.0,0.0,normal,17
tcp,http,SF,294,545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102,255,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,normal,21
udp,domain_u,SF,44,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,245,0.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,186,0.73,0.02,0.73,0.0,0.0,0.0,0.02,0.0,smurf,20
tcp,http,SF,233,6084,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,normal,21
tcp,http,SF,229,2356,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,47,0.0,0.0,0.0,0.0,1.0,0.0,0.13,33,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,345,566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal,21
tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,18,1.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,warezclient,14
tcp,uucp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,22,1.0,1.0,0.0,0.0,0.15,0.05,0.0,255,22,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,ftp,SF,246,773,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48,21,0.44,0.1,0.02,0.0,0.0,0.0,0.0,0.0,normal,21
icmp,ecr_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221,221,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,17
tcp,ftp_data,SF,854,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221,88,0.38,0.03,0.38,0.02,0.01,0.01,0.0,0.0,normal,21
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,1.0,1.0,0.0,0.0,0.23,0.18,0.0,255,18,0.07,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
tcp,http,SF,148,2893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40,0.0,0.0,0.0,0.0,1.0,0.0,0.05,7,254,1.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,normal,20
udp,other,SF,516,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215,0.0,0.0,0.0,0.0,1.0,0.0,0.0,215,215,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,17
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,7,1.0,1.0,0.0,0.0,0.07,0.07,0.0,255,30,0.12,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
tcp,imap4,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,18,1.0,1.0,0.0,0.0,0.11,0.07,0.0,255,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,finger,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,11,1.0,1.0,0.0,0.0,0.05,0.06,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,25,1.0,1.0,0.0,0.0,0.3,0.06,0.0,255,25,0.1,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81,131,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,normal,20
tcp,http,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,1.0,1.0,0.0,0.0,0.62,0.23,0.0,255,56,0.22,0.02,0.01,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,uucp_path,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,14,1.0,1.0,0.0,0.0,0.12,0.07,0.0,255,14,0.05,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
tcp,http,SF,200,354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68,70,0.0,0.0,0.0,0.0,1.0,0.0,0.03,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
udp,domain_u,SF,43,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,normal,20
tcp,smtp,SF,844,326,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,140,0.73,0.13,0.03,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,hostnames,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,9,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,9,0.04,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
tcp,pop_3,SF,35,130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,7,0.13,0.27,0.07,0.29,0.0,0.0,0.0,0.0,normal,20
tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,10,0.0,0.0,1.0,1.0,0.07,0.06,0.0,255,7,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
tcp,private,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,104,1,0.01,0.9,0.92,0.0,0.92,1.0,0.0,0.0,nmap,18
tcp,http,SF,201,1315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,255,1.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,normal,21
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,20,1.0,1.0,0.0,0.0,0.07,0.05,0.0,255,18,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
tcp,ftp_data,SF,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,47,1.0,0.0,1.0,0.13,0.0,0.02,0.0,0.0,warezclient,6
tcp,ftp_data,SF,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,61,93,0.39,0.05,0.39,0.02,0.0,0.01,0.0,0.0,normal,20
tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1,0.01,0.0,0.91,1.0,0.01,1.0,0.0,255,1,0.0,0.42,0.0,0.0,0.0,0.0,0.38,1.0,satan,20
tcp,http,SF,343,1714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,smtp,SF,1435,337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,87,142,0.38,0.02,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,237,12155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,255,1.0,0.0,0.08,0.07,0.0,0.0,0.0,0.0,normal,21
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,15,1.0,1.0,0.0,0.0,0.08,0.06,0.0,255,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,11,1.0,1.0,0.0,0.0,0.04,0.05,0.0,255,11,0.04,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
tcp,http,SF,210,566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,255,1.0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,smtp,SF,1069,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,130,179,0.58,0.04,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,klogin,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,20,1.0,1.0,0.0,0.0,0.19,0.06,0.0,255,17,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
tcp,smtp,SF,3844,377,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,109,152,0.55,0.06,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,262,11785,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118,154,1.0,0.0,0.01,0.03,0.0,0.01,0.0,0.0,normal,21
tcp,http,SF,231,18499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,255,1.0,0.0,0.2,0.11,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,197,27228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,255,1.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,205,10044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,0.0,0.0,0.0,0.0,1.0,0.0,0.17,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
udp,other,SF,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,255,3,0.01,0.64,0.95,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,uucp_path,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,8,1.0,1.0,0.0,0.0,0.04,0.06,0.0,255,19,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
udp,domain_u,SF,44,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
udp,other,SF,516,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,166,0.0,0.0,0.0,0.0,1.0,0.0,0.0,166,166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,17
tcp,pop_3,SF,38,130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80,9,0.04,0.08,0.01,0.22,0.03,0.0,0.0,0.0,normal,21
tcp,http,SF,164,28382,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,255,1.0,0.0,0.05,0.03,0.05,0.0,0.0,0.0,normal,21
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,10,1.0,1.0,0.0,0.0,0.1,0.07,0.0,153,10,0.07,0.07,0.01,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,6,0.0,0.0,1.0,1.0,0.07,0.07,0.0,255,6,0.02,0.06,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
tcp,smtp,SF,1362,380,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,143,191,0.73,0.03,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
udp,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,0.0,0.0,0.0,0.67,0.67,0.0,255,253,0.99,0.01,0.01,0.0,0.0,0.0,0.0,0.0,normal,20
tcp,finger,S0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.33,1.0,0.67,0.0,0.33,1.0,1.0,16,2,0.12,0.19,0.12,0.0,0.12,1.0,0.06,0.0,land,18
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,20,1.0,1.0,0.0,0.0,0.15,0.06,0.0,255,5,0.02,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,224,224,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,20
tcp,http,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,1.0,1.0,0.0,0.0,0.62,0.25,0.0,255,60,0.24,0.04,0.01,0.0,1.0,1.0,0.0,0.0,neptune,20
tcp,http,SF,248,4196,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.6,132,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal,21
tcp,smtp,SF,13247,1430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,126,244,0.96,0.02,0.01,0.01,0.0,0.0,0.0,0.0,normal,20
tcp,name,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,19,1.0,1.0,0.0,0.0,0.13,0.05,0.0,255,3,0.01,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
tcp,http,SF,236,1872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,171,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal,21
udp,domain_u,SF,45,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,151,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,20
tcp,ftp_data,SF,373,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,101,0.4,0.03,0.4,0.0,0.0,0.0,0.0,0.0,normal,20
udp,other,SF,145,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.64,0.9,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,bgp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,17,1.0,1.0,0.0,0.0,0.08,0.06,0.0,255,4,0.02,0.09,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,netbios_dgm,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,13,0.0,0.0,1.0,1.0,0.04,0.05,0.0,255,13,0.05,0.08,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
tcp,smtp,SF,1165,325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,166,126,0.76,0.02,0.01,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,Z39_50,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,4,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,4,0.02,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,11,1.0,1.0,0.0,0.0,0.05,0.05,0.0,255,16,0.06,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
udp,domain_u,SF,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,0.0,0.0,0.0,0.0,0.82,0.18,0.18,106,78,0.74,0.03,0.01,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,198,11354,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,20,0.0,0.0,0.0,0.0,1.0,0.0,0.1,119,255,1.0,0.0,0.02,0.03,0.01,0.0,0.0,0.0,normal,21
tcp,http,SF,284,8079,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,normal,21
udp,domain_u,SF,44,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39,189,0.54,0.05,0.54,0.01,0.0,0.0,0.26,0.0,normal,21
tcp,http,SF,330,9132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,128,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,normal,21
tcp,other,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,1,0.09,0.0,0.9,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.11,0.0,0.89,1.0,satan,17
icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,93,1.0,0.0,1.0,0.51,0.0,0.0,0.0,0.0,ipsweep,16
tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,39,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,warezclient,11
tcp,smtp,SF,1317,404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36,156,0.5,0.08,0.03,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,1.0,1.0,0.0,0.0,0.05,0.08,0.0,23,3,0.13,0.13,0.04,0.0,1.0,1.0,0.0,0.0,neptune,18
tcp,http,SF,331,1288,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,63,0.0,0.0,0.0,0.0,1.0,0.0,0.03,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,rje,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,11,1.0,1.0,0.0,0.0,0.05,0.06,0.0,255,11,0.04,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23,23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,21
tcp,http,SF,235,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,32,0.0,0.0,0.0,0.0,1.0,0.0,0.19,61,255,1.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,normal,21
tcp,uucp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,4,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,6,0.02,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.17,0.33,0.0,255,238,0.93,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
tcp,ftp_data,SF,768,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,19
tcp,ftp,RSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,9,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,9,0.04,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
tcp,smtp,SF,709,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,57,138,0.32,0.07,0.02,0.01,0.02,0.01,0.0,0.0,normal,21
